property_id,calendar_date,day_of_week,month_name,year,available_flag,booked_flag,nightly_rate,daily_revenue,booking_id
PROP001,2023-01-01,Sunday,January,2023,1,1,89.06,89.06,BK000001
PROP001,2023-01-02,Monday,January,2023,1,1,89.06,89.06,BK000001
PROP001,2023-01-03,Tuesday,January,2023,1,1,89.06,89.06,BK000001
PROP001,2023-01-04,Wednesday,January,2023,1,1,89.06,89.06,BK000001
PROP001,2023-01-05,Thursday,January,2023,1,1,110.1,110.1,BK000002
PROP001,2023-01-06,Friday,January,2023,1,1,110.1,110.1,BK000002
PROP001,2023-01-07,Saturday,January,2023,1,1,110.1,110.1,BK000002
PROP001,2023-01-08,Sunday,January,2023,1,1,110.1,110.1,BK000002
PROP001,2023-01-09,Monday,January,2023,1,1,93.21,93.21,BK000003
PROP001,2023-01-10,Tuesday,January,2023,1,1,93.21,93.21,BK000003
PROP001,2023-01-11,Wednesday,January,2023,1,1,93.21,93.21,BK000003
PROP001,2023-01-12,Thursday,January,2023,1,1,93.21,93.21,BK000003
PROP001,2023-01-13,Friday,January,2023,1,1,93.21,93.21,BK000003
PROP001,2023-01-14,Saturday,January,2023,1,1,93.21,93.21,BK000003
PROP001,2023-01-15,Sunday,January,2023,1,1,93.21,93.21,BK000003
PROP001,2023-01-16,Monday,January,2023,1,1,99.64,99.64,BK000004
PROP001,2023-01-17,Tuesday,January,2023,1,1,99.64,99.64,BK000004
PROP001,2023-01-18,Wednesday,January,2023,1,1,99.64,99.64,BK000004
PROP001,2023-01-19,Thursday,January,2023,1,1,104.13,104.13,BK000005
PROP001,2023-01-20,Friday,January,2023,1,1,104.13,104.13,BK000005
PROP001,2023-01-21,Saturday,January,2023,1,1,104.13,104.13,BK000005
PROP001,2023-01-22,Sunday,January,2023,1,1,104.13,104.13,BK000005
PROP001,2023-01-23,Monday,January,2023,1,1,90.65,90.65,BK000006
PROP001,2023-01-24,Tuesday,January,2023,1,1,90.65,90.65,BK000006
PROP001,2023-01-25,Wednesday,January,2023,1,1,90.65,90.65,BK000006
PROP001,2023-01-26,Thursday,January,2023,1,1,90.65,90.65,BK000006
PROP001,2023-01-27,Friday,January,2023,1,1,90.65,90.65,BK000006
PROP001,2023-01-28,Saturday,January,2023,1,1,90.65,90.65,BK000006
PROP001,2023-01-29,Sunday,January,2023,1,1,92.83,92.83,BK000007
PROP001,2023-01-30,Monday,January,2023,1,1,92.83,92.83,BK000007
PROP001,2023-01-31,Tuesday,January,2023,1,1,92.83,92.83,BK000007
PROP001,2023-02-01,Wednesday,February,2023,1,1,92.83,92.83,BK000007
PROP001,2023-02-02,Thursday,February,2023,1,1,92.83,92.83,BK000007
PROP001,2023-02-03,Friday,February,2023,1,1,92.83,92.83,BK000007
PROP001,2023-02-04,Saturday,February,2023,1,1,92.83,92.83,BK000007
PROP001,2023-02-05,Sunday,February,2023,1,1,93.49,93.49,BK000008
PROP001,2023-02-06,Monday,February,2023,1,1,93.49,93.49,BK000008
PROP001,2023-02-07,Tuesday,February,2023,1,1,93.49,93.49,BK000008
PROP001,2023-02-08,Wednesday,February,2023,1,1,93.49,93.49,BK000008
PROP001,2023-02-09,Thursday,February,2023,1,1,93.49,93.49,BK000008
PROP001,2023-02-10,Friday,February,2023,1,1,93.49,93.49,BK000008
PROP001,2023-02-11,Saturday,February,2023,1,1,93.49,93.49,BK000008
PROP001,2023-02-12,Sunday,February,2023,1,0,93.06,0.0,
PROP001,2023-02-13,Monday,February,2023,1,1,105.16,105.16,BK000009
PROP001,2023-02-14,Tuesday,February,2023,1,1,105.16,105.16,BK000009
PROP001,2023-02-15,Wednesday,February,2023,1,1,105.16,105.16,BK000009
PROP001,2023-02-16,Thursday,February,2023,1,1,105.16,105.16,BK000009
PROP001,2023-02-17,Friday,February,2023,1,1,105.16,105.16,BK000009
PROP001,2023-02-18,Saturday,February,2023,1,1,105.16,105.16,BK000009
PROP001,2023-02-19,Sunday,February,2023,1,1,112.23,112.23,BK000010
PROP001,2023-02-20,Monday,February,2023,1,1,112.23,112.23,BK000010
PROP001,2023-02-21,Tuesday,February,2023,1,1,112.23,112.23,BK000010
PROP001,2023-02-22,Wednesday,February,2023,1,1,112.23,112.23,BK000010
PROP001,2023-02-23,Thursday,February,2023,1,1,112.23,112.23,BK000010
PROP001,2023-02-24,Friday,February,2023,1,1,112.23,112.23,BK000010
PROP001,2023-02-25,Saturday,February,2023,1,0,97.71,0.0,
PROP001,2023-02-26,Sunday,February,2023,1,1,87.86,87.86,BK000011
PROP001,2023-02-27,Monday,February,2023,1,1,87.86,87.86,BK000011
PROP001,2023-02-28,Tuesday,February,2023,1,1,87.86,87.86,BK000011
PROP001,2023-03-01,Wednesday,March,2023,1,1,102.78,102.78,BK000012
PROP001,2023-03-02,Thursday,March,2023,1,1,102.78,102.78,BK000012
PROP001,2023-03-03,Friday,March,2023,1,1,102.78,102.78,BK000012
PROP001,2023-03-04,Saturday,March,2023,1,1,102.78,102.78,BK000012
PROP001,2023-03-05,Sunday,March,2023,1,0,117.01,0.0,
PROP001,2023-03-06,Monday,March,2023,1,0,123.11,0.0,
PROP001,2023-03-07,Tuesday,March,2023,1,1,105.72,105.72,BK000013
PROP001,2023-03-08,Wednesday,March,2023,1,1,105.72,105.72,BK000013
PROP001,2023-03-09,Thursday,March,2023,1,1,105.72,105.72,BK000013
PROP001,2023-03-10,Friday,March,2023,1,1,105.72,105.72,BK000013
PROP001,2023-03-11,Saturday,March,2023,1,1,105.72,105.72,BK000013
PROP001,2023-03-12,Sunday,March,2023,1,1,110.76,110.76,BK000014
PROP001,2023-03-13,Monday,March,2023,1,1,110.76,110.76,BK000014
PROP001,2023-03-14,Tuesday,March,2023,1,1,110.76,110.76,BK000014
PROP001,2023-03-15,Wednesday,March,2023,1,1,104.6,104.6,BK000015
PROP001,2023-03-16,Thursday,March,2023,1,1,104.6,104.6,BK000015
PROP001,2023-03-17,Friday,March,2023,1,1,104.6,104.6,BK000015
PROP001,2023-03-18,Saturday,March,2023,1,1,104.6,104.6,BK000015
PROP001,2023-03-19,Sunday,March,2023,1,1,104.6,104.6,BK000015
PROP001,2023-03-20,Monday,March,2023,1,1,104.6,104.6,BK000015
PROP001,2023-03-21,Tuesday,March,2023,1,1,104.6,104.6,BK000015
PROP001,2023-03-22,Wednesday,March,2023,1,0,108.77,0.0,
PROP001,2023-03-23,Thursday,March,2023,1,1,120.63,120.63,BK000016
PROP001,2023-03-24,Friday,March,2023,1,1,120.63,120.63,BK000016
PROP001,2023-03-25,Saturday,March,2023,1,1,123.17,123.17,BK000017
PROP001,2023-03-26,Sunday,March,2023,1,1,123.17,123.17,BK000017
PROP001,2023-03-27,Monday,March,2023,1,1,123.17,123.17,BK000017
PROP001,2023-03-28,Tuesday,March,2023,1,1,123.17,123.17,BK000017
PROP001,2023-03-29,Wednesday,March,2023,1,0,112.16,0.0,
PROP001,2023-03-30,Thursday,March,2023,1,1,110.59,110.59,BK000018
PROP001,2023-03-31,Friday,March,2023,1,1,110.59,110.59,BK000018
PROP001,2023-04-01,Saturday,April,2023,1,1,110.59,110.59,BK000018
PROP001,2023-04-02,Sunday,April,2023,1,1,110.59,110.59,BK000018
PROP001,2023-04-03,Monday,April,2023,1,1,125.85,125.85,BK000019
PROP001,2023-04-04,Tuesday,April,2023,1,1,125.85,125.85,BK000019
PROP001,2023-04-05,Wednesday,April,2023,1,1,125.85,125.85,BK000019
PROP001,2023-04-06,Thursday,April,2023,1,1,125.85,125.85,BK000019
PROP001,2023-04-07,Friday,April,2023,1,1,125.85,125.85,BK000019
PROP001,2023-04-08,Saturday,April,2023,1,1,114.34,114.34,BK000020
PROP001,2023-04-09,Sunday,April,2023,1,1,114.34,114.34,BK000020
PROP001,2023-04-10,Monday,April,2023,1,1,114.34,114.34,BK000020
PROP001,2023-04-11,Tuesday,April,2023,1,1,114.34,114.34,BK000020
PROP001,2023-04-12,Wednesday,April,2023,1,1,114.34,114.34,BK000020
PROP001,2023-04-13,Thursday,April,2023,1,1,114.34,114.34,BK000020
PROP001,2023-04-14,Friday,April,2023,1,1,123.95,123.95,BK000021
PROP001,2023-04-15,Saturday,April,2023,1,1,123.95,123.95,BK000021
PROP001,2023-04-16,Sunday,April,2023,1,1,123.95,123.95,BK000021
PROP001,2023-04-17,Monday,April,2023,1,1,123.95,123.95,BK000021
PROP001,2023-04-18,Tuesday,April,2023,1,1,123.95,123.95,BK000021
PROP001,2023-04-19,Wednesday,April,2023,1,1,114.67,114.67,BK000022
PROP001,2023-04-20,Thursday,April,2023,1,1,114.67,114.67,BK000022
PROP001,2023-04-21,Friday,April,2023,1,1,114.67,114.67,BK000022
PROP001,2023-04-22,Saturday,April,2023,1,1,114.67,114.67,BK000022
PROP001,2023-04-23,Sunday,April,2023,1,1,111.33,111.33,BK000023
PROP001,2023-04-24,Monday,April,2023,1,1,111.33,111.33,BK000023
PROP001,2023-04-25,Tuesday,April,2023,1,1,111.33,111.33,BK000023
PROP001,2023-04-26,Wednesday,April,2023,1,1,111.33,111.33,BK000023
PROP001,2023-04-27,Thursday,April,2023,1,1,111.33,111.33,BK000023
PROP001,2023-04-28,Friday,April,2023,1,1,111.33,111.33,BK000023
PROP001,2023-04-29,Saturday,April,2023,1,1,111.33,111.33,BK000023
PROP001,2023-04-30,Sunday,April,2023,1,1,115.8,115.8,BK000024
PROP001,2023-05-01,Monday,May,2023,1,1,115.8,115.8,BK000024
PROP001,2023-05-02,Tuesday,May,2023,1,1,115.8,115.8,BK000024
PROP001,2023-05-03,Wednesday,May,2023,1,1,115.8,115.8,BK000024
PROP001,2023-05-04,Thursday,May,2023,1,1,115.8,115.8,BK000024
PROP001,2023-05-05,Friday,May,2023,1,1,115.8,115.8,BK000024
PROP001,2023-05-06,Saturday,May,2023,1,1,123.31,123.31,BK000025
PROP001,2023-05-07,Sunday,May,2023,1,1,123.31,123.31,BK000025
PROP001,2023-05-08,Monday,May,2023,1,1,123.31,123.31,BK000025
PROP001,2023-05-09,Tuesday,May,2023,1,1,123.31,123.31,BK000025
PROP001,2023-05-10,Wednesday,May,2023,1,1,128.6,128.6,BK000026
PROP001,2023-05-11,Thursday,May,2023,1,1,128.6,128.6,BK000026
PROP001,2023-05-12,Friday,May,2023,1,1,128.6,128.6,BK000026
PROP001,2023-05-13,Saturday,May,2023,1,1,113.05,113.05,BK000027
PROP001,2023-05-14,Sunday,May,2023,1,1,113.05,113.05,BK000027
PROP001,2023-05-15,Monday,May,2023,1,1,113.05,113.05,BK000027
PROP001,2023-05-16,Tuesday,May,2023,1,1,113.05,113.05,BK000027
PROP001,2023-05-17,Wednesday,May,2023,1,1,113.05,113.05,BK000027
PROP001,2023-05-18,Thursday,May,2023,1,1,113.05,113.05,BK000027
PROP001,2023-05-19,Friday,May,2023,1,1,123.42,123.42,BK000028
PROP001,2023-05-20,Saturday,May,2023,1,1,123.42,123.42,BK000028
PROP001,2023-05-21,Sunday,May,2023,1,1,123.42,123.42,BK000028
PROP001,2023-05-22,Monday,May,2023,1,1,123.42,123.42,BK000028
PROP001,2023-05-23,Tuesday,May,2023,1,0,127.62,0.0,
PROP001,2023-05-24,Wednesday,May,2023,1,0,116.62,0.0,
PROP001,2023-05-25,Thursday,May,2023,1,1,112.64,112.64,BK000029
PROP001,2023-05-26,Friday,May,2023,1,1,112.64,112.64,BK000029
PROP001,2023-05-27,Saturday,May,2023,1,1,112.64,112.64,BK000029
PROP001,2023-05-28,Sunday,May,2023,1,1,112.64,112.64,BK000029
PROP001,2023-05-29,Monday,May,2023,1,1,112.64,112.64,BK000029
PROP001,2023-05-30,Tuesday,May,2023,1,1,117.72,117.72,BK000030
PROP001,2023-05-31,Wednesday,May,2023,1,1,117.72,117.72,BK000030
PROP001,2023-06-01,Thursday,June,2023,1,1,117.72,117.72,BK000030
PROP001,2023-06-02,Friday,June,2023,1,1,117.72,117.72,BK000030
PROP001,2023-06-03,Saturday,June,2023,1,1,117.72,117.72,BK000030
PROP001,2023-06-04,Sunday,June,2023,1,1,117.72,117.72,BK000030
PROP001,2023-06-05,Monday,June,2023,1,1,117.72,117.72,BK000030
PROP001,2023-06-06,Tuesday,June,2023,1,1,122.27,122.27,BK000031
PROP001,2023-06-07,Wednesday,June,2023,1,1,122.27,122.27,BK000031
PROP001,2023-06-08,Thursday,June,2023,1,1,150.99,150.99,BK000032
